,Unnamed: 0,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score
69,2690,3k,get,331,5.802118375,3.669863328,3.17,1.29,1.268,3482,2259,1973,TRUE,TRUE,TRUE,3.102931664
77,3375,3k,house,310,5.736572297,3.741374387,3.16,1.07,1.264,1821,1217,1032,TRUE,TRUE,TRUE,3.134687194
52,8261,3k,when,675,6.514712691,2.892419794,4.239515,1.8,1.695806,2676,3114,3651,TRUE,TRUE,TRUE,3.142015897
44,7501,3k,they,1078,6.982862751,2.381666019,4.878935,1.87,1.951574,5819,5999,6632,TRUE,TRUE,TRUE,3.14240701
63,1647,lcnl,day,376,5.929589143,3.530792159,3.5,1.58,1.4,1977,1582,1439,TRUE,TRUE,TRUE,3.16539608
75,2829,3k,good,366,5.902633333,3.560201066,3.55,1.61,1.42,1989,1342,1322,TRUE,TRUE,TRUE,3.200100533
90,1786,3k,dog,211,5.351858133,4.161099232,2.8,1.2,1.12,1241,566,397,TRUE,TRUE,TRUE,3.200549616
60,8570,3k,your,510,6.234410726,3.198230472,4.100974,1.92,1.6403896,2554,2406,2815,TRUE,TRUE,TRUE,3.239504836
83,1308,3k,come,287,5.659482216,3.825480005,3.32,1.42,1.328,2052,1374,1231,TRUE,TRUE,TRUE,3.240740003
49,3226,3k,her,1026,6.933423026,2.435604977,5.092075,2.45,2.03683,4345,4828,5016,TRUE,TRUE,TRUE,3.254632489
41,7479,3k,that,1383,7.232010332,2.109844913,5.529012,2.06,2.2116048,6087,6786,8610,TRUE,TRUE,TRUE,3.266527257
67,869,3k,can,507,6.228511004,3.204667094,4.32,2.26,1.728,5068,2608,2656,TRUE,TRUE,TRUE,3.330333547
84,4731,3k,old,326,5.786897381,3.686469499,3.72,1.36,1.488,1100,1121,1050,TRUE,TRUE,TRUE,3.33123475
87,8307,3k,who,337,5.82008293,3.650263919,3.813235,1.41,1.525294,1086,1133,1457,TRUE,TRUE,TRUE,3.35042596
54,6618,lcnl,so,892,6.793466133,2.588298563,5.14536,1.85,2.058144,2778,2683,2882,TRUE,TRUE,TRUE,3.352293281
111,264,3k,bed,165,5.105945474,4.429391026,2.89,1.41,1.156,675,405,316,TRUE,TRUE,TRUE,3.370695513
116,2026,3k,eat,150,5.010635294,4.533374851,2.78,1.48,1.112,1051,585,499,TRUE,TRUE,TRUE,3.378687426
93,4618,3k,night,274,5.613128106,3.876052542,3.61,1.88,1.444,716,718,653,TRUE,TRUE,TRUE,3.382026271
144,8541,3k,yes,103,4.634728988,4.943490285,2.310598,1.68,0.9242392,1002,601,456,TRUE,TRUE,TRUE,3.395984343
108,4223,3k,man,185,5.220355825,4.304568829,3.11,1.24,1.244,1981,1314,977,TRUE,TRUE,TRUE,3.396284415
95,3231,3k,here,282,5.641907071,3.844654565,3.738636,1.94,1.4954544,2267,1324,1140,TRUE,TRUE,TRUE,3.417781683
107,5830,3k,say,212,5.356586275,4.155940809,3.42,1.07,1.368,955,862,805,TRUE,TRUE,TRUE,3.445970404
124,1812,3k,door,155,5.043425117,4.49760101,3.05,1.15,1.22,818,782,668,TRUE,TRUE,TRUE,3.468800505
102,914,3k,cat,245,5.501258211,3.998103091,3.68,1.52,1.472,904,215,162,TRUE,TRUE,TRUE,3.471051546
100,4450,3k,more,260,5.560681631,3.933271878,3.781264,2.04,1.5125056,902,1159,1474,TRUE,TRUE,TRUE,3.479141539
70,237,lcnl,be,674,6.513230111,2.894037296,5.11,3.23,2.044,3366,3618,4161,TRUE,TRUE,TRUE,3.491018648
101,3323,3k,home,268,5.590986981,3.900208608,3.86652,1.88,1.546608,1677,1094,939,TRUE,TRUE,TRUE,3.496712304
97,8263,3k,where,309,5.733341277,3.744899445,4.090317,2.06,1.6361268,1477,1177,1308,TRUE,TRUE,TRUE,3.508576523
78,8171,lcnl,we,610,6.413458957,3.002888063,5.03879,1.66,2.015516,4846,3286,3235,TRUE,TRUE,TRUE,3.516960032
114,7780,3k,tree,206,5.327876169,4.187263661,3.57,1.61,1.428,807,501,358,TRUE,TRUE,TRUE,3.521631831
98,4745,lcnl,or,311,5.739792912,3.737860682,4.143602,1.25,1.6574408,931,1553,2536,TRUE,TRUE,TRUE,3.526371141
73,7496,3k,there,693,6.541029999,2.863707495,5.25193,2.05,2.100772,3255,3310,3699,TRUE,TRUE,TRUE,3.532625748
153,6409,3k,sleep,113,4.727387819,4.842399093,2.79,1.03,1.116,477,288,213,TRUE,TRUE,TRUE,3.537199547
80,7523,3k,this,538,6.28785856,3.139918649,4.93222,2.09,1.972888,3899,2990,3591,TRUE,TRUE,TRUE,3.542847325
120,252,3k,bear,197,5.283203729,4.23600149,3.58,1.68,1.432,902,320,165,TRUE,TRUE,TRUE,3.550000745
